date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:13	337/337	---M--	200	added ('OK')	text/plain	etag:%22626814b8-151%22	https://kksmartcom.com/robots.txt		(from )
17:48:14	120699/120699	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2016:48:14%20GMT	https://kksmartcom.com/	D:/Crack%20site/kksmartcom.com/kksmartcom.com/index.html	(from )
17:48:15	6610/6610	---MCZ	200	added ('OK')	application/json	date:Mon,%2003%20Apr%202023%2016:48:16%20GMT	https://kksmartcom.com/wp-json/wp/v2/pages/59	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-json/wp/v2/pages/59.json	(from https://kksmartcom.com/)
17:48:15	472515/472515	---M--	200	added ('OK')	image/jpeg	etag:%22617bda50-735c3%22	https://kksmartcom.com/wp-content/uploads/2021/10/Cover-1-6-scaled.jpg	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-content/uploads/2021/10/Cover-1-6-scaled.jpg	(from https://kksmartcom.com/)
17:48:16	834/834	---MCZ	200	added ('OK')	text/xml	date:Mon,%2003%20Apr%202023%2016:48:16%20GMT	https://kksmartcom.com/xmlrpc.php?rsd	D:/Crack%20site/kksmartcom.com/kksmartcom.com/xmlrpc0db0.php	(from https://kksmartcom.com/)
17:48:16	235809/235809	---MCZ	200	added ('OK')	application/json	date:Mon,%2003%20Apr%202023%2016:48:16%20GMT	https://kksmartcom.com/wp-json/	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-json/index.html	(from https://kksmartcom.com/)
17:48:16	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22617035c6-415%22	https://kksmartcom.com/wp-includes/wlwmanifest.xml	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-includes/wlwmanifest.xml	(from https://kksmartcom.com/)
17:48:16	2722/2722	---MCZ	200	added ('OK')	application/json	date:Mon,%2003%20Apr%202023%2016:48:17%20GMT	https://kksmartcom.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkksmartcom.com%2F	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-json/oembed/1.0/embed5d11.json	(from https://kksmartcom.com/)
17:48:17	2841/2841	---MCZ	200	added ('OK')	text/xml	date:Mon,%2003%20Apr%202023%2016:48:17%20GMT	https://kksmartcom.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkksmartcom.com%2F&format=xml	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-json/oembed/1.0/embed7c20	(from https://kksmartcom.com/)
17:48:17	853/853	---M--	200	added ('OK')	image/png	etag:%226270f99f-355%22	https://kksmartcom.com/wp-content/uploads/2022/05/cropped-fv-32x32.png	D:/Crack%20site/kksmartcom.com/kksmartcom.com/wp-content/uploads/2022/05/cropped-fv-32x32.png	(from https://kksmartcom.com/)
